ESCLAVA EP56-H264
26/10/2016

NdA	(générique de début)

Miguel	Fais attention à toi. (hhh\) (x)

Victoria	Je t'aime.

Miguel	Moi aussi.

Victoria	(hh\)

Milagro	Je retourne à l'Eden avec vous.

Lorenza	Pourquoi ?

Milagro	Maman... (h/) si elles font semblant de ne pas être au courant au sujet de ce plan, je suis obligée de faire la même chose... (hh/) sinon, ça aura l'air suspect. Ne te tracasse pas trop... (hh/) on se retrouvera très bientôt. (hhh/)

Lorenza	(mts) Qu'Eloga vous montre le chemin et vous accompagne, mes filles.

Milagro	(hh/) (hh\) (hh/) (hh\)

Lorenza	(x) (x)

Victoria	(x) Allons-y.

Milagro	(x)

Victoria	(x)

Miguel	(x)

(BOUCLE 12 - 00:09:49:00)
		12

Ambiance	(quelques conversations : "S'il peut encore marcher, il peut attendre un peu. On va de ce côté, je vais vous aider.")

Isabel2	Manuela ? (h/) Tout va bien ? (h/)

Manuela	Non... (hh/) mon frère est introuvable... (hh/) et je ne sais pas où je peux le chercher. (hh/)

Isabel2	(hh\)

Manuela	Tu crois qu'il est rentré à l'auberge et que je suis ici à m'inquiéter comme une idiote ? (hh/ hh\)

Isabel2	Toutes les personnes présentes sur la plage ont été ramenées ici.

Manuela	(mh mh)

Isabel2	(hh/) Ceux qui sont indemnes sont là...

Manuela	Oui... (h/) d'accord.

Isabel2	les blessés sont là-bas...

Manuela	Oui... (h/ h\)

Isabel2	et les morts sont là-bas.

Manuela	(hhh/) (hh\) Je vais le chercher parmi les indemnes... (hh/)  puis parmi les blessés. (h\ h/ hh\) (hh\)

(BOUCLE 13 - 00:10:18:20)
		13

Isabel2	Tomas ? (hh\ hh/) Qu'est-ce qui t'est arrivé ? Tomas... (h\ h/ h\ h/)

Tomas	(hh\ hh/ hh\) C'était...

Isabel2	Thomas...

Tomas	(h\ hh/) l'enfer, mademoiselle Isabelita.

Isabel2	(hh\ hh/)

Tomas	(hh/) L'enfer sur Terre. (h\)

Isabel2	(h/) Tu sais où est Miguel ? Pourquoi il n'est pas là ? (hh/) Est-ce qu'il est mort ?

Tomas	Non. Il a pu s'échapper. (hhh/ hhh\ hhh/)

Isabel2	(soupire) (hhh\)

Tomas	Il y a beaucoup de blessés ici. (hhh/) Nous avons besoin d'être soignés sur le champ !

Garde2	Tais-toi, esclave !

Tomas	(hh/ hh\) (h/) Il nous faut des médecins ici sur le champ !

Garde2	(h/) Tu ne m'as pas entendu ?

Isabel2	(h/) C'est vous qui allez vous taire ! Et allez nous chercher des bandages et de l'eau ! (h/) Profitez-en pour prévenir tout Santa Marta parce que le docteur et moi, nous n'avons que deux bras !

Ambiance	(commentaire : "Vous deux, allez à droite.")

Isabel2	(hh/) Dépêchez-vous ! (hhh/) Tomas... Non... (pleure) (pleure)

(BOUCLE 14 - 00:11:08:19)
		14

Ambiance	(brouhaha, conversations)

Belen	Non ! (h/) Pourquoi, mon Dieu ? (pleure_____) (pleure_______) (hhh\ hhh/)

Félipé	Je vais chercher Miguel.

Belen	(hh/) (hhh\) (hh/) (hh\) (hhh/ hhh\ hhh/)

Ana	Mon Dieu, quelle horreur, Paca...

Belen	(hhh\) (hhh/ hhh\) (hhh/)

Ana	Suis-moi... (hh/) on doit aider ces gens. (hhh/ hhh\) On va vous aider, monsieur.

Belen	Ils l'ont assassiné, Maître, ils l'ont assassiné ! (hhh/)

Félipé	Je suis désolé, Belen.

Belen	(pleure) (hhh\)

Félipé	(hh\)

Belen	(hhh/ hhh\)

(BOUCLE 15 - 00:11:38:24)
		15

Félipé	(hh\) (hh\ hhh/) (hh\) Tomas...

Tomas	(hh\) (hh\)

Félipé	Dis-moi ce qui s'est passé.

Tomas	(hh/) (hh\) (hhh/) Ca a très mal tourné, Félipé. Un vrai cauchemar... (hhh/) (soupire) Granados... (mts) il nous a tendu une embuscade avec ses hommes.

Félipé	Je... j'ai raté le rendez-vous. (hh/)

Tomas	(soupire)

Félipé	Je l'ai raté parce qu'il me suivait, et je pensais que c'était à cause de ma relation avec Ana. (h/) Comment cette ordure a pu le savoir ?

Tomas	(soupire) Je l'ignore... (hhhh/) je l'ignore, mais... (h\) (hhh/) si le général n'était pas arrivé... (hhh/) ils nous auraient tué jusqu'au dernier.

(BOUCLE 16 - 00:12:20:07)
		16

Félipé	Et Victoria ?

Tomas	(h\) (pleure) (mts hhh/) C'était tellement confus que je n'ai pas... (mts) la dernière fois que je l'ai vue... (hhh/) elle était avec Miguel... (hhh\) (hhh/) (hh\) ils allaient... vers la montagne.

Ambiance	(quelques conversations : "Posez-le ici. Merci.")

Tomas	(hhh/) (hhh\ hhh/) J'espère que je ne les reverrai jamais... (pleure) (mts hhh/) (h\) Je pourrai mourir en paix en sachant... (h\ hhh/) qu'ils ont réussi... à conquérir leur liberté. (hh\) (snif) (pleure) (soupire) (hh/) (soupire) (mts)

(BOUCLE 17 - 00:13:05:08)
		17

Manuela	(hh\ hh/ hh\ hh/ hh\) (h\) (hh\) (hh/) (hhh\)

Ambiance	(quelques commentaires :"On doit aller chercher des bandages.")

Manuela	(huuh/) (huuh\) (hh/) N... (huh) (h/) (huh) (huh) Non, non, non... (huh\) (h/) (snif) Non, non, non... Non, non, non, impossible... Non, non, non... (h/) Non, non, non... Jésus n'est pas... non... (h\ h/ hh\) (huh\) C'est impossible... (hh/) Non, non, non... (huh/) Non... (huhh/ h\) (tremble) (gémit___) (gémit___) (huh\ hh/ hh\ hh/) Ce n'est pas lui !

Isabel2	(soupire)

Manuela	(h\ hh/) Ce n'est pas Jésus ! (hhh/ pleure hh/)

Isabel2	(hh\)

Manuela	(gloups) (gémit__) (gémit___) Non... non...

Général	(soupire___)

Manuela	non... (pleure) (pleure h/)

Isabel2	(hhh/)

Manuela	Non... (h\ h/) Non, non, non... (h/) Non. (h\)

Isabel2	(soupire)

Manuela	Non... (hh/) (pleure h\) (mmmmh________) (gémit_______) (hh/) (pleure)

(BOUCLE 18 - 00:14:03:15)
		18

Manuela	(huh/) (ah_________________!) (pleure) Jésus, non_______________... (hhh/) (pleure____) Jésu__s... (hhh/) (pleure___) (hh/) (aah___) No____n... pas mon frère... no_________n... (pleure___)

Ana	(snif)

Manuela	(hh/) (aah) No____n... (h/) Jésu___s... (pleure) (pleure__) (hhh/) (pleure) (hhh/)

Ana	(snif)

