filename,doc,docx,rol,rtf,txt
kiz11def,,,Yes,,Yes
sao13,,,Yes,,Yes
thebig,,,Yes,,Yes
hat1,,,Yes,,Yes
imp08s02,,,Yes,,Yes
sistas8,,,Yes,,Yes
diab20,,,Yes,,Yes
quarry,,,Yes,,Yes
zero04def,,,,,Yes
clichés,Yes,,,,Yes
para2,,,Yes,,Yes
jimb2~1,,,Yes,,
faith,,,Yes,,Yes
imp05s2def,,,,,Yes
30062021,,,Yes,,Yes
imp04s2def,,,,,Yes
scarlett,,,Yes,,Yes
zero03~1,,,Yes,,
prayer,,,Yes,,Yes
para3,,,Yes,,Yes
female,,,Yes,,Yes
diab21,,,Yes,,Yes
sistas9,,,Yes,,Yes
another,,,Yes,,Yes
afond~1,,,Yes,,
oval2,,,Yes,,Yes
ep15,,,Yes,,Yes
~$bks2,,,,,Yes
project,,,Yes,,Yes
agent08,,,Yes,,Yes
dragon5,,,Yes,,Yes
mystic8,,,Yes,,Yes
test,,,Yes,,Yes
imp12s02def,,,,,Yes
find,,,Yes,,Yes
intro05,,,Yes,,Yes
intro07,,,Yes,,Yes
zero12def - texte adaptation,,,,,Yes
kiss,,,Yes,,Yes
190421-4,,,Yes,,Yes
llf,,,Yes,,Yes
royal,,,Yes,,Yes
killer,,,Yes,,Yes
acceleration,,,,,Yes
imp03,,,Yes,Yes,Yes
dragon7,,,Yes,,Yes
princess,,,Yes,,Yes
hypos,,,Yes,,Yes
after,,,Yes,,Yes
turuleca,,,Yes,,Yes
lights,,,Yes,,Yes
ghostk,,,Yes,,Yes
arua09,,,Yes,,Yes
riot,,,Yes,,Yes
zero01~1,,,Yes,,
hat2,,,Yes,,Yes
ctb,,,Yes,,Yes
para1,,,Yes,,Yes
montana,,,Yes,,Yes
uncove~1,,,Yes,,
catch,,,Yes,,Yes
soft,,,Yes,,Yes
accele~1,,,Yes,,
off,,,Yes,,Yes
redef13,,,Yes,,Yes
diab22,,,Yes,,Yes
hat3,,,Yes,,Yes
10032020,,,Yes,,Yes
adv,,,Yes,,Yes
kiz08,,,Yes,,Yes
arua08,,,Yes,,Yes
nde 210,,,,,Yes
fourki,,,Yes,,Yes
oval1,,,Yes,,Yes
fear,,,Yes,,Yes
memoire,,,Yes,,Yes
dragon6,,,Yes,,Yes
busty,,,Yes,,Yes
2-15022021,,,,,Yes
famille,,,Yes,,Yes
nde2112,,,Yes,,Yes
bb5,,,Yes,,Yes
imp07s~1,,,Yes,,
dch2,,,Yes,,Yes
breakin,,,Yes,,Yes
intro06,,,Yes,,Yes
nde211~1,,,Yes,,
ellebe~1,,,Yes,,
doormanvo,,,,,Yes
imp02s~1,,,Yes,,
italie~1,,,Yes,,
trigeg~1,,,Yes,,
imp10s~1,,,Yes,,
2-1502~1,,,Yes,,
imp03s02def,,,,,Yes
zero01def,,,,,Yes
sinatradef,,,,,Yes
italie~3,,,Yes,,
vfwtra~1,,,Yes,,
randomdef,,,,,Yes
italie~2,,,Yes,,
the scroll,,,,,Yes
my bos,,,,,Yes
imp11s02def,,,,,Yes
zero12~1,,,Yes,,
chocolate,,,,,Yes
zero03def,,,,,Yes
doorma~1,,,Yes,,
christmas,,,,,Yes
zero09~1,,,Yes,,
imp08s02def,,,,,Yes
re zero 7 verif - texte adaptation,,,,,Yes
invisi~1,,,Yes,,
mystic~1,,,Yes,,
italie~4,,,Yes,,
imp01s2def,,,,Yes,Yes
imp12s~1,,,Yes,,
mybos~1,,,Yes,,
antisocialvf,,,,,Yes
sistas102,,,,,Yes
verdad~3,,,Yes,,
random~1,,,Yes,,
agent03def,,,,,Yes
zero07def,,,,,Yes
verdad~2,,,Yes,,
presen~1,,,Yes,,
3secon~1,,,Yes,,
imp04s~1,,,Yes,,
chocol,,,,,Yes
imp08s~1,,,Yes,,
nde210~1,,,Yes,,
timecrafters,,,,,Yes
210120~1,,,Yes,,
invisible,,,,,Yes
imp06s2def,,,,,Yes
verdades010,,,,,Yes
verdad~1,,,Yes,,
kizdef08,,,,,Yes
jim b2,,,,,Yes
zero08~1,,,Yes,,
imp06s~1,,,Yes,,
thescr~1,,,Yes,,
imp10s02def,,,,,Yes
verdades001,,,,,Yes
verdad~4,,,Yes,,
republic02,,,,,Yes
chocol~1,,,Yes,,
stolendef,,,,,Yes
imp09s02def,,,,,Yes
agent01def,,,,,Yes
mute comptage vo,Yes,,,,
sinatr~1,,,Yes,,
agent 08,,,,,Yes
love space time comptage vo,Yes,,,,
zero09def,,,,,Yes
republic01,,,,,Yes
zero05def,,,,,Yes
adaptation identical love,,,,Yes,
sistas106,,,,,Yes
