ÍCARO	Vai conhecer o Agulhas, não é o maior, mas é agitado. 	
VANESSA	Eu vou no banheiro, tá? 

RAMIRO	Vai lá, vai lá. 

ANDRÉ	Bateu na casquinha, o cantinho da borda, entendeu. 

PONTOCOM	Eu vi. 

ANDRÉ	É sério.

CLARA	Eu preciso falar com você sobre esse cara. 

VANESSA	Eu sei quem você é, você não é a ex do meu namorado; aquela ciumenta, possessiva, louca. Fica longe! 

CLARA	(REAC) 

PONTOCOM	Aí, tão bom, no bate papo mesmo. 

FALCÃO	Ah, continue conversando. 

ANDRÉ	(RISOS) Continua. 

FALCÃO	Num bate papo. Oh! 

PONTOCOM	Eh!

FALCÃO	(RISOS) Todo rebolando, oh "pra" (para) aí.

CLARA	Tá bom, tá bom. 

PONTOCOM	Tá lindo, André. (RISOS) 

FALCÃO	(RISOS) 

ANDRÉ	Eu sei. 

FALCÃO	Sinceramente, esse cara é chato "pra" (para) porra, visse?

CLARA	Eu sei. 

FALCÃO	Eu doido "pra" (para) dançar um forró contigo. 

CLARA	A gente dança aqui, bora. 

FALCÃO	É? 

CLARA	Bora! 

FALCÃO	Tá bom. 

CLARA	(RISOS)

FALCÃO	Vamos bora. (RISO)

CLARA	Mas eu não sei dançar. 

FALCÃO	Não, eu te ensino, bora, relaxa. 

CLARA	(RISOS) 

FALCÃO	É dois "pra" (para) lá, e dois... 

CLARA	É dois "pra" (para) cá. Dois "pra" (para) cá, dois... 

FALCÃO	Aprende na aula, Pontocom!

PONTOCOM	(VOZERIO)

CLARA	"Pera aí" (espera aí), "pera aí", “pera aí”. Vai, vai. 

FALCÃO	Olha "pra" (para) mim. 

CLARA	Tá. E segura aqui com... (RISOS)        

FALCÃO	(RISOS) Vai, dois. 

CLARA	(RISOS) 

RAMIRO	“Filho da puta”

CLARA	Ramiro.

FALCÃO	Não empurra!

RAMIRO	Eu vou te matar...

CLARA	Ramiro! 

RAMIRO	Seu “filho da puta”!

FALCÃO	(REAC) 

CLARA	Ramiro, para, Ramiro. 

ANDRÉ	Falcão. 

RAMIRO	(AGRESSÃO)

CLARA	Ai!

FALCÃO	Clara... Bater nela não! 

RAMIRO	Você vai apanhar. 

CLARA	Ai. 

FALCÃO	Clara. 

CLARA	Para. 

ANDRÉ	Para, para.

FALCÃO	Agora você vai virar, seu vagabundo! 

CLARA	Para.   

PONTOCOM	Calma, Clara. 

FALCÃO	(AGRESSÃO) 
   
VANESSA 	O quê que você tá fazendo? 

FALCÃO	(REAC) 

CLARA	Ramiro. 

RAMIRO	“Filho da puta”, eu vou te matar. 

VANESSA	(REAC) 

RAMIRO	Eu vou te matar.

FALCÃO	Clara, não! 

RAMIRO	Ai! 

CLARA	Você se acha mais homem batendo em mulher? Se acha mais forte? 

ANDRÉ	Ai. 

RAMIRO	Eu vou te matar. 

CLARA	Você é um covarde, cara!

RAMIRO	Eu vou te matar!

CLARA	Eu vou matar ele aqui!

ANDRÉ	Cala a boca, filho da puta ! 

FALCÃO	Vai nada. 

CLARA	Some daqui, cara! 

FALCÃO	Eu já seguro. 

RAMIRO	(REAC) 

FALCÃO	Vem cá, seu covarde!

CLARA	Vai embora! 

PONTOCOM	Calma. 

RAMIRO	(VOZERIO) 

CLARA	Some daqui! 

VANESSA	(REAC) 

CLARA	(REAC) 

NATALIE	(RISOS) 

GREGORY	Como você é engraçadinha, né? 

VERÔNICA	(RISO)

GREGORY	(RISO) 

AMIR	Mas Gregory, eu posso te fazer uma pergunta? 

GREGORY	É claro. 

AMIR	Quando você encontra com esses índios, eles deixam de ser isolados? 

GREGORY	(RISO)  

NATALIE	Alguém tem que fazer alguma coisa por eles, né, Amir. 

AMIR	Não, não, eu sei. 

NATALIE	Ele está à favor deles. 

AMIR	Eu sei. 

NATALIE	(RISOS) 

AMIR	Eu estou... Mas eles deixam de ser isolados? 

GREGORY	Eu já ouvi tanto essa pergunta.

AMIR	Então? 

VERÔNICA	Olha, se ninguém registrar, eles não só deixam de ser isolados, como podem deixar de existir. 

NATALIE	(RISO)

AMIR	Tá vendo, Gregory, eu faço uma pergunta "pra" (para) você...   

NATALIE	Tá de sacanagem. 

AMIR	... E as meninas caem de pau em cima de mim...

VERÔNICA	(REAC) 

AMIR	... "Pra" (para) te defender. 

NATALIE	Não. Tá de sacanagem. 

VERÔNICA	Não, né? Nada disso. 

AMIR	Se eu fosse você, eu não acreditava em tantas gentilezas assim não, viu? 

NATALIE	O quê que foi, o que você tem?

AMIR	Eu preciso dizer? 

NATALIE	(RISO)

GREGORY	Amir, eu entendo o seu ponto. 

AMIR	Hum. 

GREGORY	Mas olha, quem não é visto hoje em dia? 

AMIR	Exatamente. 

GREGORY	A NASA vê eles, a internet vê eles, a gente sabe que eles existem mesmo eles não sendo contactados. Eu no meu caso, eu não sei, mas talvez quando eu busque esses índios, eu, eu acho na verdade eu estou buscando a mim mesmo. 

AMIR	Poético. 

GREGORY	É o saquê. 

NATALIE	(RISOS) 

GREGORY E VERÔNICA	(RISOS) 

NATALIE	Fala "pra" (para) ele da sua tese de mestrado. 

VERÔNICA	Ah não. 

NATALIE	Conta, ele vai adorar. 

VERÔNICA	Não, não, é muito...

GREGORY	Ah não, vai contar sim. 

VERÔNICA	Não. 

GREGORY	Eu acabei de me abrir agora aqui, vai.

VERÔNICA	Não, não, é muito cabeçuda. 

NATALIE	Mas ela vai te contar. 

GREGORY	Vai. 

VERÔNICA	Não, não, não. 

AMIR	Opa. 

NATALIE	Hum.

AMIR	Desculpa, eu me distraí.   

VERÔNICA	Deixa que eu tiro aqui. 

GREGORY	Dá licença. 

AMIR	Não. 

NATALIE	Não, tá tudo certo. 

AMIR	Pode, pode deixar. Eu limpo. 

GREGORY	(REAC) 

NATALIE	Vamos ali comigo, vamos pegar um pano ali. Amir, vamos ali comigo, Amir. 

AMIR	O nosso casamento acaba, né, e você tem tempo "pra" (para) uma aventura na floresta... 

NATALIE	Fala baixo. 

AMIR	... "Pra" (para) ajudar na fuga de um desconhecido. 

NATALIE	Fala baixo! 

AMIR	Joga o cara "pra" (para) cima da Verônica. 

NATALIE	Ah, você tá louco. 

AMIR	Mas "pra" (para) gente olhar no olho e dizer “adeus”, você não tem tempo, né? 

NATALIE	(REAC) 

GREGORY	Onde é que eu posso colocar isso? 

NATALIE	(RISO) Aqui. 

AMIR	(REAC) 

NATALIE	Nossa, obrigada por tudo, tá.  

GREGORY	(RISO) (BEIJO) 

NATALIE	(BEIJO) 

GREGORY	 Obrigado você pela noite. Amir. 

AMIR	Tchau, tchau.

VERÔNICA	Tchau, tchau. 

GREGORY	Até logo. 

AMIR	Boa noite. 

VERÔNICA	Hmm. 

GREGORY	Não, "pra" (para) cá, "pra" (para) cá. 

VERÔNICA	(RISOS) 

GREGORY	(RISOS) 

NATALIE	(RISO) Vem, Amir. 

NATALIE	Amir, deixa isso "pra" (para) amanhã, vamos conversar? 

AMIR	(REAC) Eu vou dar uma saída. 

NATALIE	Você vai sair agora, você bebeu aquela garrafa toda! 

VERÔNICA	(REAC) 	

AMIR	Eu precisava te ver. 

VERÔNICA	"pra" (para) que? 

AMIR	(REAC) Cadê ele? 

VERÔNICA	Ele quem? 

AMIR	“Ele quem”? 

VERÔNICA	O que você veio fazer aqui? 

AMIR	Como é que você sabe do que eu estou falando? 

VERÔNICA	O quê que você veio fazer aqui? 

AMIR	“Ele quem”. Tá lá em cima? Ele tá lá e cima? 

VERÔNICA	Ah, você veio conferir? 

AMIR	Eu vim. 

VERÔNICA	Veio conferir? 

AMIR	Eu vim e não me orgulho disso, mas eu vim. Ele tá aí ou não tá? 

VERÔNICA	Eu não acredito que você deixou a Nati em casa, e veio até aqui? 

AMIR	A Nati não faz ideia do que eu estou fazendo aqui. Eu quero saber se você tá sozinha ou não tá. 

VERÔNICA	Eu estou sozinha sim e pode voltar "pra" (para) sua casa. 

AMIR	(REAC) 

VERÔNICA	(REAC) Vai. 

AMIR	(REAC) Eu te amo, (REAC) você não...

VERÔNICA	(REAC) 

AMIR	(REAC) Eu te amo. (REAC) Eu te amo. 

VERÔNICA	(REAC) Sai daqui, Amir. 

AMIR	Eu vou embora, eu vou embora. (BEIJO) Eu te amo. (BEIJO) Eu te amo. (BEIJO) 

AMIR	Não. 

VERÔNICA	Vai embora, por favor. Vai embora, vai embora, vai embora. 

AMIR	(REAC) 

VERÔNICA	Vai embora, vai embora, vai embora. O pior já passou, vai embora.  

AMIR	Não.  

VERÔNICA	(REAC) 

AMIR	Eu vou embora. 

VERÔNICA	Vai embora! 

MIGUEL	Gabi, tá tudo bem, meu amor? (REAC) 

GREGORY	(REAC) 

FELIPE	(TENSO AFLITO) 

NATALIE	Não! (GRITO) 

GREGORY	Não, não, não! 

NATALIE	Não! (REAC) 

GEEGORY	Senta. Pede ajuda!

NATALIE	Alguém, alguém me ajuda! Socorro! Ai! (REAC DESESPERO)
