ÍCARO	Vai conhecer o Agulhas, não é o maior, mas é agitado. 	
LUIZA	E vai render pro Miguel bilhões. Muito mais do que ele lucra hoje com os esquemas dos garimpos ilegais. 

NATALIE	Essa reserva pode ser a maior ferida a céu aberto da Amazônia.

LUIZA	Cara, o Otávio, o senhor Antônio, os indígenas, nada chega perto, do que ele pode fazer com a gente, se a gente continuar no caminho dele. 

VERÔNICA	Exatamente. Então a gente precisa ter consciência, que ainda dá tempo de pular fora. 

NATALIE	Dá, mas a gente tem que decidir logo. 

LUIZA	Oi. 

YAN	Ô, mãe, você não tinha medo de dormir ali sozinha? Podia vim uma pessoa má. 

LUIZA	Eu tinha, eu tinha medo, mas a gente tinha um ideal. E o ideal ele sempre é maior do que o medo. 

YAN	(REAC) 

LUIZA	(BEIJO) 

OSCAR	Que “porra” de caminho é esse que você tá fazendo, rapaz? 

CARLOS	Eu acho melhor o senhor ficar quietinho aí. 

OSCAR	Como e que é? 

CARLOS	Eu já disse, eu acho melhor o senhor ficar bem quietinho aí no seu lugar. 

OSCAR	Olha, eu não sei o quê que tá acontecendo, mas nada que não se possa conversar. 

CARLOS	Entra. 

OSCAR	Isso é claramente um mal entendido, hein? 

MIGUEL	Obrigado, Carlos, é só isso. 

OSCAR	Miguel, nós temos as nossas diferenças, mas nada que não se possa conversar, mas sem exagero, hein? 

MIGUEL	Eu preciso admitir uma coisa, Oscar, ter ouro é uma  benção. Esse metal não satisfeito em abrir as portas, revela sem esforço todos os nossos inimigos. 

OSCAR	Eu vou me redimir com você. 

MIGUEL	É claro que vai.

OSCAR	(REAC) 

MIGUEL	Queima o corpo. 

YAN	Oi, pai. 

GILBERTO	(RISOS) (BEIJO) Oi filhão. 

LUIZA	Ei, ei, ei... 

YAN	(REAC) 

LUIZA	(BEIJO) Você tem um minuto? 

GILBERTO	Eu tenho, claro. 

LUIZA	Precisava ter feito desse jeito? 

GILBERTO	Luiza, eu te admiro muito, então, mas, mas as vezes isso tira o meu bom senso. 

LUIZA	(REAC) Eu quero que o Yan venha morar com você. 

GILBERTO	Você tem certeza? 

LUIZA	É o melhor "pra" (para) ele. É o correto. 

GILBERTO	Você sabe que, que você vai continuar compartilhando comigo, todas as decisões importantes da vida dele. 

LUIZA	Óbvio, (REAC). 

GILBERTO	Você pode estar com ele quando você quiser. 

LUIZA	(CHORO) Vamos combinar essas coisas, esse detalhes, a rotina dele, quando eu voltar. Eu vou ter que ficar um período mais, longe. Eu já expliquei "pra" (para) ele. 

GILBERTO	Se cuida. E desculpa. 

LUIZA	Obrigada. (REAC) 

GILBERTO	Obrigado. 

GREGORY	A passagem tá comprada. 

VERÔNICA	Passaporte falso é muito arriscado. 

GREGORY	Mas o meu pessoal disse, que entre as opções que a gente tem, essa é a única que não deixa rastros. (REAC) 

NATALIE	Oi. 

AMIR	Oi. 

NATALIE	(RISO) (BEIJO) Esse é o Gregory... Lembra que eu te falei, do antropólogo que a gente conheceu na Amazônia?

AMIR	Não, eu não lembro de nenhuma aventura sua na floresta não. 

CASAL	(RISOS) 

NATALIE	Deve estar com fome, né, Amir? 

AMIR	(RISO)

NATALIE	Gregory, Amir. 

AMIR	Oi. 

GREGORY	Prazer.

AMIR	Prazer. Oi, Verônica. 

VERÔNICA	Tudo bom? 

AMIR	Tudo bem. É uma festa? 

NATALIE	Você gosta de comida japonesa, Greg? 

GREGORY	Aham. 

NATALIE	Ótimo, eu vou lá pegar as coisas.     

GREGORY	Eu vou ver se a Nati precisa de ajuda. Dá licença. 

AMIR	Veio me ver? 

VERÔNICA	Amir, a gente não tem mais nada. A gente vai sair dessa, sem machucar a Nati. Eu fiz uma escolha. 

AMIR	Eu vou me divorciar dela, e a gente vai ficar junto. 

VERÔNICA	(REAC) 

AMIR	Clima meio tenso aqui, né? 

GREGORY	A gente tá em uma missão difícil, né? 

AMIR	Eu posso ajudar? 

VERÔNICA	A gente precisa tirar uma pessoa do país. Só que a gente precisa garantir que não tenha problema com a polícia federal na hora do embarque. 

AMIR	E por que teria? 

VERÔNICA	O passaporte é falso. 

AMIR	Hum. E como é que ele chama? 

NATALIE	O que é que foi? 

GREGORY	Eu acho que a gente vai ter ajuda. 

AMIR	Então, eu estou precisando de uma atenção especial "pra" (para) uma pessoa. É, Pedro, Pedro Vargas. 

NATALIE	(mensagem) Olha só, à catorze horas, terminal três Guarulhos, tá? As dezesseis horas, você embarca "pra" (para) Turquia, e de lá a gente vai te mandar "pra" (para) outro lugar. 

FELIPE	(REAC) 
	
HOMEM ALEATÓRIO	Ele não tá aqui não, não tá aqui não.

NELSON	O Felipe se mandou daqui. 

HOMEM ALEATÓRIO	Não tá aqui. 

HOMEM ALEATÓRIO	Viu aqui? 

HOMEM ALEATÓRIO	Então vamos bora, vamos bora. 

HOMEM ALEATÓRIO	Vamos bora. 

FELIPE	(REAC) 

ANDRÉ	Joga aqui. 

PONTOCOM	Oh, maluco. 

FALCÃO	Ô. 

CLARA	Joga logo. 

FALCÃO	Ô. 

CLARA	E vai o vermelho! Droga, vai errar.

ANDRÉ 	Chora. 

CLARA	Ele vai errar. 

FALCÃO	Ah! 

ANDRÉ	Ou! 

CLARA	Não, não, não. 

FALCÃO	Eu vou beber. 

CLARA	Oh, você tá erado. 

FALCÃO	Eu vou beber, pronto, eu perdi, eu vou beber. 

ANDRÉ	Você fica enchendo a boca...

CLARA	Tá errado isso. 

FALCÃO	Hum. 

