Time stamp	4.00pm
Fah	I'm not Christian either

Kai	Are you Atheist?

Fah	What is Atheist?

Kai	An Atheist is someone who does not believe in religion

Fah	I believe in Faith, I believe it's good that people have faith

Kai	Do you pray?

Fah	Yeah

Kai	May I ask to whom?

Fah	To my parents

Kai	So why the cross

Fah	It belonged to someone I knew

Fah	I kept it as a reminder

Kai	Good or bad reminder

Fah	Good

Fah	Of something bad I did

Kai	You did something bad?

Fah	Yeah

Kai	Did anyone get hurt?

Fah	I don't think so

Kai	But you feel bad

Fah	Yeah, I feel….

Fah	I don't know how to explain

Kai	Guilt?

Kai	You feel guilty

Kai	Guilt is good

Kai	It reminds us to do good

Fah	That's why I kept the cross

Kai	Drive around stay close

Kai	I'll call don't pick up the phone

Kai	Meet me over there, past the entrance Within 5 mins of the phone call

Fah	Ok

Kai	Ok

Sign	Tomorrowland

Time stamp	1.29am

Dom	What the fuck man

Kai	Quit it, get off, stay put

Dom	Wait, wait, what do you want?

Kai	You killed a family with your Porsche, do you remember?

Kai	Do you remember!

Dom	Yes, yes, yes, I, I, I remember just don't, don't, don't do anything

Kai	Stand up

Dom	Wait, don't just don't kill me Jesus Christ

Kai	stand up

Dom	I didn't do anything

Dom	The keys to my ride do you want my car? take it man it's yours

Fah	What happened?

Kai	Drive

Fah	What did you do?

Kai	Drive please

Kai	Where's the nearest hospital?

Fah	Are you hurt?

Kai	I'm ok, hospital

Fah	There's one a few minutes away

Kai	Take us there please

Kai	Please

Manop	What are you thinking?

Detective	I'm thinking there's more, I'm thinking it's goint to escalate

Detective	And I'm thinking who's not sleeping in a hotel somewhere

Detective partner	We need to get everything on these 3 people

Detective	Wifes on it

Detective	She should have something for us soon

Detective partner	Isn't your son like a week old?

Detective	9 days

Detective partner	Talk about a slave driver

Detective	You met my wife right?

Detective	You know she doesn't rest

Detective partner	Speak

Detective partner	All right, thanks

Detective partner	Seems like you're right again

Detective	Where?

Detective partner	Ibiza Night Club, 23 year old, shot through the chest

Detective partner	Witnesses all claim an old Asian man, Wait boss there's more The kid, he's not dead He's being transported to the hospital as we speak

Detective	You go to the club, get a positive ID take a look around and I will head over to the hospital

Detective partner	Copy that

Kai	Can I have a tissue,  please?

Kai	Thank you

Kai	I'm not going to kill you

Kai	Nothing has changed

Kai	Our deal is still the deal

Fah	It wasn't an accident right, me picking you up tonight?

Kai	No, It wasn't

Kai	I know where you live

Kai	I knew your routine

Fah	Why?

Kai	The family that died in your car

Kai	That was my daughter

Kai	Her husband

Kai	And her

Kai	5 years old daughter

Kai	My grandchild

Fah	You were going to kill me

Kai	It was possible, yes

Kai	It was your car, your signature on the witness sheet

Kai	I swear I don't want to kill you, I don't even want to hurt you

Kai	Can you give me a bottle of water please

Kai	Thank you

Kai	Drink it

Fah	What changed your mind?

Kai	That

Kai	I gave that to my daughter

Kai	On her 18th birthday

Kai	Anyone who can live with so much guilt as you do

Kai	Over making a choice

Kai	You had no option

Kai	That person has a good heart Hospital sign St Carlos Medical Spa

Fah	You're going to kill him

Kai	Yes

Mr Davis	What kind of fucking place is this?

Mrs Davis	Is this you?

Mr Davis	What the fuck do you mean?

Mrs Davis	Is this one of your business associates, did you have some sort of deal go bad?

Mr Davis	Fuck you!

Mr Davis	Fuck you, for thinking that

Mrs Davis	How can I not think it How many times have you put us in danger?

Mr Davis	Really?

Mrs Davis	Yeah

Mr Davis	How many times have you been shot at? How many times has Dom? That's right, none

Mr Davis	I have never put us in danger

Mr Davis	The life I provide you with

Mr Davis	99% of the population would kill for

Mr Davis	So, I would appreciate some respect

Mrs Davis	The fact is I let you fuck your little hussies, is respect enough

Mrs Davis	What you think I don't know?

Mrs Davis	You think I'm some farang who's blind and doesn't know what's going on?

Mrs Davis	Nothing you do goes by me

Mrs Davis	I can take my son and walk away with everything you've got I know all your dirty little secrets

Mrs Davis	So the fact that I'm still standing here

Mrs Davis	That's all the respect you're going to get

Mrs Davis	And if my son dies

Mrs Davis	I swear to God, you'll regret the day you ever laid eyes on me

Mr Davis	He's a lucky boy

Mr Davis	The bullet went clean through

Mr Davis	All they had to do was clean his wound and stitch him up

Mr Davis	He's going to be ok

Mr Davis	Your fired you useless piece of shit

Mrs Davis	You fucking shot my son!

Mr Davis	Wait, wait, wait, what's this all about?

Mr Davis	Listen, anything you want, I have so much money

Kai	Your money paid for everything

Kai	Made my son-in-law into a criminal, you covered your sons crimes

Kai	Yeah you understand now

Mr Davis	I did it to protect my son

Mr Davis	Something any father would do

Kai	Me too

Kai	The apple never falls far from the  tree

Mr Davis bodyguard	He's just a kid

Kai	You're old enough to kill, you’re old enough to die

Detective	So, what have you got?

Detective Wife	Hurt boobies

Detective	Like father, like son

Detective Wife	I found a connection between the cops and the lawyers in over 20 cases from small traffic violations to more serious crimes

Detective	Example

Detective Wife	Drug and human trafficking, possession, you name it, they worked on it together

Detective Wife	And for every instance the defendants walked

Detective Wife	There was only 1 case involving the Davis family though

Detective	Ok

Detective Wife	A few months ago, the son was involved in an accident 4 people died and 1 was injured, including a 5 years old girl a Brittish family

Detective	Not American?

Detective Wife	No Brittish


Detective Wife	The Coopers

Detective	And the son got acquitted

Detective Wife	Turns out the husband was the one driving the taxi

Detective Wife	Paid the driver extra said he always wanted to drive in Bangkok, got confused, drove right onto coming traffic

Detective	And ran directly into the son

Detective Wife	Yeah, that's the official version

Detective Wife	No thanks to our 2 dead friends I'm sure

Detective	Right

Detective Wife	Your thoughts


Detective	My thoughts are the same, the law is the law

Detective	Vigilante justice is still homicide

Kai	Drop it

Kai	Now

Detective	Ok man, relax

Detective	I'm putting down the gun

Detective	Look I know everything

Detective	The son who killed your family, right?

Dectective	Son or daughter?

Kai	My daughter

Detective	I understand but no-one needs to get hurt anymore

Kai	Oh yes, one more person then it's done

