EM FAMILIA VO TCI EP 73-H264
21/04/2016

(BOUCLE 1 - 10:00:00:00)
		01

FELIPE	Le père de Bia... c'est Fernando.
LUISA	T'inquiète pas Uriel, je vais régler ça avec lui. Pour l'amour du Ciel ! Lâche-moi !

LAERTE	Viens.

LAERTE	Viens Luisa !

LUISA	Ne me touche pas.

GISELLE	Je sais pas comment Luisa fait pour le supporter. Laerté est très agressif.

MARINA	Où cela va-t-il s'arrêter ? Ça alors... J'en reviens pas.

(BOUCLE 16 - 10:11:42:07)
		16

LUISA	Qu'est-ce que tu as fait, Laerté !

LAERTE	Je faisais que te protéger, tu comprends pas ?

LUISA	(ah)

LUISA	Mais tu m'as encore humiliée devant tout le monde, devant mes amis. Quelle honte !

LAERTE	Tu devrais plutôt avoir honte de te comporter comme si tu étais célibataire, Luisa.

LUISA	Pour l'amour du Ciel, arrête avec ça. Toute cette jalousie ça te rend cinglé !

LAERTE	C'est ce que ta mère t'as dit ? Madame m'a bassiné toute sa vie pour que j'aille voir un médecin.

LUISA	Et t'aurais mieux fait de l'écouter !

LAERTE	(h) Tu me provoques. Tu adores ça te sentir admirée de tout le monde.

LUISA	Ça suffit ! (h) Ça suffit ! Cette conversation n'a aucun sens, comme toutes les autres. (h) Je refuse d'alimenter ton imagination ridicule et infantile !

LAERTE	Et où tu vas ?

LUISA	Je vais prendre l'air. Et je veux y aller seule. J'ai besoin de me calmer.

LAERTE	(mhh)

LUISA	(pleurs)

(BOUCLE 17 - 10:12:25:24)
		17

AMBIANCE	(ambiance VI___________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________)

LUCAS	Je le supporte pas ce type !

LUCAS	Vous avez vu dans quel état elle était. Elle avait peur. Et ce n'est pas la première fois. En cours de danse, c'était la même chose.

URIEL	(X)

SANDRA	(X)

SANDRA	Oui, il fait ça tout le temps.

HELENA	Excusez-moi de vous interrompre les jeunes.

SANDRA	Non, tu ne nous interromps pas tata.

HELENA	(euh) Non parce que j'ai vu Luisa___ (euh) sur le parking, elle sortait d'ici (euh) plutôt, plutôt rapidement, et en colère.

RITA	(h)

RITA	C'est vrai, elle est venue assister au cours de photographie.

HELENA	(a___h)

HELENA	Et______ et elle n'a pas voulu rester pour assister au cours de danse, hein Sandra ?

