FELIPE	(AFLITO) 
RUBENS	Depois olha só, vocês pegaram essa rota aqui, pela estrada do Ingá, que nem luz ou asfalto tem. Foram até esse terreno aqui, que fica bem no limite da reserva... A pergunta que eu faço é, por que, hein? Eu tenho certeza que vocês tiveram um ótimo motivo "pra" (para) fazer isso, mas eu confesso que sozinho não dei conta de descobrir. 

TAVARES	A gente recebeu um chamado anônimo essa noite, a gente foi conferir.

RUBENS	E? 

CABO	Alarme falso, doutor. Acontece todo dia. 

RUBENS	(RISOS) (REAC) Senhores, era só isso mesmo. Ah não, fica com você. Vai que ascende uma luz.  

RUBENS	Quem é esse? 

DÉCIO	Esse é o Décio. Ele é “o” capanga do Miguel Kiriakos.

RUBENS	O quê que é isso? Não para não. 

DÉCIO	(REAC) 

RUBENS	Continua. 

DÉCIO	Eita porra! 

RUBENS	Eu vou acionar o juiz. Prepara o camburão, delegado. 

DÉCIO	(REAC) 

RUBENS	Nós temos duas prisões "pra" (para) fazer. 

ANDRÉ	Você não quer tentar vomitar "pra" (para) fora do barco não? 

VERÔNICA	Não vai resolver. 

ANDRÉ	Quer conversar? 

ÍCARO	Não é você que ama tanto a natureza, hum? 

LUIZA	Me solta, Ícaro. Ícaro, Ícaro, me solta. 

ÍCARO	O que eu queria entender, é oq eu você e a sua ONG de merda estão fazendo aqui. 

LUIZA	O quê que você acha que a gente tá fazendo? 

ÍCARO	Enchendo o saco! Os pobres dos garimpeiros já não tem quase nada, vocês querem tirar o pouco que eles têm? 

LUIZA	Você não vê que você tá doente? 

ÍCARO	(REAC) 

LUIZA	A sua perna já ficou dormente? 

ÍCARO	(REAC) 

LUIZA	A sua vista embaçada, hein? 

ÍCARO	(REAC) Eu acho melhor a colega calar a boca. 

LUIZA	Você tá contaminado, cara, e se você não fizer nada, isso só vai piorar. 

ÍCARO	(RISOS) 

LUIZA	O próximo passo é você ficar cego. (REAC)  

ÍCARO	Você...

LUIZA	Me solta, Ícaro. 

ÍCARO	Você, você é uma “filha de uma puta”. 

LUIZA	(REAC) 

ÍCARO	Uma bruxa maldita. Você não vai me enganar de novo. Você vai se coçar aqui, até eu vender a tua cabeça, hum? (RISOS) 

LUIZA	Você é burro! É isso que você é, você é um burro! É por isso que você tá doente. Eles é que estão te enganando! 

NELSON	(REAC) 

DÉCIO	Eu acho melhor você saltar do carro. 

NELSON	Como é que é? 

DÉCIO	Você ouviu. 

RUBENS	 Nelson Torres. 

NELSON	O quê que vocês querem? 

DÉCIO	O senhor tá sendo preso pelo assassinato do jornalista Otávio Mendes. (off) O senhor tem o direito de permanecer calado. 

PONTOCOM	E agora, hein, Felipe? A unidade de Cari toda queimada, estamos sem dinheiro, as sócias estão brigando. O quê que você sugere "pra" (para) gente? Você sabe que a culpa disso tudo é sua né? Sua e desse dossiê aí que ninguém viu. É melhor você acordar logo, meu camarada, tá difícil aqui.  

OLGA	A floresta é o nosso maior patrimônio, ela é fonte de riquezas inesgotáveis, e nós vamos lutar "pra" (para) que ela permaneça assim; potente, exuberante, mas também produtiva. Nós seremos os guardiões da floresta. 

MIGUEL	O J.A. tem como foco a floresta, a assinatura deve acontecer logo no início e discretamente. 

SENADOR 1	Nós vamos mobilizar a nossa bancada no Congresso. 

OLGA	É, os doadores de campanha. (REAC) 

SENADOR 2	Claro, eles vão disputar os lugares à tapa. 

MIGUEL	A Olga vai cuidar da lista de convidados. Eu quero o presidente da república presente. (Toca o celular) (REAC) Alô. Como assim? Quando? (REAC) Eu já entendi.  (REAC) Merda! (REAC) 

OLGA	O que é que foi? 

MIGUEL	(REAC) Prenderam o Nelson. Precisamos acelerar a data desse jantar. (REAC) 

OLGA	E se ele abrir a boca? 

MIGUEL	(REAC) Ele não vai abrir a boca. 

NELSON	É engraçado você estar me prendendo, Décio, o Miguel não vai gostar de saber disso. 

DÉCIO	Porra, Nelson, eu sou mais útil solto, do que preso, porra. 

NELSON	Como é que esse Rubens descobriu? 

DÉCIO	Eu não sei. Relaxa, porra, já, já a gente dá um jeito nisso. 

NELSON	(REAC) 

SEGURANÇA 1	(rádio) Torquato na escuta? 

TORQUATO	(rádio) Positivo. 

SEGURANÇA 1	(rádio) Tá chegando uma embarcação não identificada aí. 


JOEL	Não, oh lá. Você vai pegar aquela área toda lá com o pessoal, e vai ajeitar tudo aquilo lá, tá? Mas não deixa nada lá, nada! Tá bom? O Miguel...

SEGURANÇA 2	Senhor Joel. 

JOEL	Oi? 

SEGURANÇA 2	O senhor tem visita. 

JOEL	O que? 

SEGURANÇA 2	O senhor tem visita, doutor. 

JOEL	Oh, vai lá, faz o negócio lá, tá? Vamos lá.  

FALCÃO	Então, rapaz, eu não sei se você entendeu, mas é melhor aqui todo mundo colaborar "pra" (para) não ter confusão. 

TORQUATO	E esses aí são da fiscalização também?

VERÔNICA	Não, nós somos de uma ONG Ambiental, a gente veio garantir que a fiscalização tenha acesso ao garimpo.

TORQUATO	Eu te conheço. 

NATALIE	Imprensa. 

JOEL	O Miguel tá aí? 

SEGURANÇA 2	Não senhor. É a fiscalização. 

JOEL	Manda eles lá "pra" (para) tenda principal, tá?

SEGURANÇA 2	Torquato, na escuta?   

SEGURANÇA 2	(rádio) Pode mandar o pessoal da fiscalização da tenda principal. 

TORQUATO	Positivo. Vocês ouviram, né? Por aqui. 

JOEL	Olá, boa tarde. É, essa visita estava marcada? 

FALCÃO	E desde quando a operação de fiscalização precisa de hora marcada? João Batista, superintendência de inspeção ambiental. 

JOEL	Prazer, Joel. 

VERÔNICA	Verônica Muniz. Eu sou advogada da ONG Ambiental Aruana. 

JOEL	Prazer.

GREGORY	Gregory Meloi, biodiversidade internacional. 

NATALIE	Natalie Lima, eu sou jornalista da TV Núcleo, e eu estou aqui "pra" (para) mostrar os crimes que vocês estão cometendo. 

JOEL	Espera lá fora, por favor. 

ANDRÉ	Olha só, a gente tá perdendo tempo. 

CLARA	E qual a sua ideia então? 

ANDRÉ	Ué, Clara, eu não sei, vamos perguntar por aí, arriscar. Aqui. 

CLARA	Uma foto da Luiza?

ANDRÉ	É, você tem outra ideia? Vamos. 

CLARA	André.   

JOEL	Qual é o problema? Eu posso garantir que a minha gerência tá fazendo tudo da maneira correta. 

FALCÃO	Vocês estão atuando em uma área de conservação que abriga terras indígenas. É proibido fazer mineração por princípio. 

NATALIE	Segundo a nossa investigação, junto à DNBN, não há licença "pra" (para) vocês atuarem aqui na reserva. 

JOEL	O Presidente da República decretou o fim dessa unidade. 

VERÔNICA	Não existe autorização formal alguma quanto a isso. E já vimos infrações graves aqui...

JOEL	(REAC) 

VERÔNICA	... Obras faraônicas, sem autorização prévia, e sem análise de risco ambiental. 

NATALIE	Isso sem falar nas condições de trabalhos análogas de escravos, presença de armas, munições, armazenamento de combustível em quantidade ilegal. 

VERÔNICA	Mudança de curso de rio, indícios de caça à fauna silvestre e exploração sexual infantil.

GREGORY	Seria um incidente internacional de peso.  

CLARA	Vamos perguntar "pra" (para) aquele ali. 

ANDRÉ	Bora. 

CLARA	Por acaso você viu essa minha amiga aqui? 

FUNCIONÁRIO 1	(REAC) 

CLARA	Não? 

ANDRÉ	Obrigado. 

CLARA	Oi, boa tarde, tudo bem? Por acaso vocês viram minha amiga aqui? 

FUNCIONÁRIO 2	Eu não vi não. Já procurou ali no refeitório? 

FALCÃO	Enfim, Joel, diante de tantas infrações, se o responsável direto de operações não se encontra aqui, eu tenho ordens "pra" (para) aplicar multas e fazer apreensões. 

CLARA	Eu acho que é essa daqui. É a moça que me falou da Luiza. 

ANDRÉ	Aquela ali? 

CLARA	É. 

ANDRÉ	Vamos bora. 

CLARA	Ela pode... Te falar.

ANDRÉ	Vamos bora. Oi. 

CLARA	Shiu. Moça. 

ANDRÉ	Moça. 

CLARA	Moça. 

ANDRÉ	Oi, com licença. 

CLARA	Desculpa. (REAC) 

ANDRÉ	(REAC) Bora? 

CLARA	Bora. 

ANDRÉ	(REAC) 

JOEL	João, por favor. O mandatário desse lote, é o doutor Miguel Kiriakos, vocês têm certeza que querem arrumar confusão com ele? 

VERÔNICA	Bom, então nós vamos acionar o Batalhão Ambiental da Polícia Militar, "pra" (para) que eles possam fazer as intervenções necessárias.  

JOEL	Calma, eu vou ligar "pra" (para) ele agora, tá? "Pra" (para) ver se ele fala com vocês. Dá licença. 

ANDRÉ	(REAC) O que é isso? Clara, você tá louca? Você, você quer ser pega também, garota? (REAC) 

CLARA	(REAC) 

ANDRÉ	Clara. 

CLARA	(REAC)  

SEGURANÇA 1	Chapa, essa não é aquela moça que levou “as novinha” embora? 

ANDRÉ	Ela tá em algum lugar. 

CLARA	(REAC) Vamos, André. 

ANDRÉ	Shiu, Clara, clara, Clara... 

CLARA	A gente tem que circular, vamos? 

ANDRÉ	... Clara, olha isso, olha isso.

CLARA	O quê que foi? 

ANDRÉ	Olha isso. 

CLARA	(REAC) 

ANDRÉ	"Pra" (para) direita. Tá vendo? 

CLARA	Cacete, é ele, vamos, vamos! 

ANDRÉ	(REAC) Vamos. 

CLARA	Vamos! Vem logo! 

ANDRÉ	"Pera aí" (espera aí). 

ÍCARO	(REAC) Levanta bem devagarinho e vira de costa. 

LUIZA	(REAC) 

ÍCARO	Eu vou realizar o seu último desejo. 

LUIZA	Ícaro. 

ÍCARO	Vagabunda, levanta... 

LUIZA	Não, Ícaro, você tá doente. 	

ÍCARO	... “Filha da puta”. 

LUIZA	Ícaro, você tá doente, você tá doente.

ÍCARO	Cala a boca. 

LUIZA	Você tá doente! Ícaro, para.  

ÍCARO	“Shiu”. Não é disso que você gosta? 

LUIZA	(REAC) Não. 
 
ÍCARO	Hum...

LUIZA	(REAC) 

ÍCARO	... Não é disso que você gosta? 

LUIZA	(REAC) 

ÍCARO	Não dificulta, não dificulta. 

LUIZA	(REAC) Não, não.

ÍCARO	Cala a boca, cala a boca. 

LUIZA	Não. 

CLARA	Respeita os nossos!	  

ÍCARO	(REAC) 

LUIZA	(REAC) 

CLARA	Luiza. 

LUIZA	(REAC) 

CLARA	Você tá bem? 
 
LUIZA	(REAC) 

CLARA	Você tá bem? 
 
LUIZA	(REAC) 

ANDRÉ	Toma, toma, toma. 

LUIZA	(REAC) 

CLARA	(REAC) É essa aqui. 

CLARA	Luiza. 

LUIZA 	(REAC) 

CLARA	Calma. 

ANDRÉ	Calma, Luiza, cuidado. 

LUIZA	(REAC) 

ANDRÉ	Galera, o barco tá logo ali. 

LUIZA	(REAC) 

ANDRÉ	(REAC) 

LUIZA	(REAC) 

SEGURANÇA 1	Vocês estão com pressa? 

ANDRÉ	Calma. 

CLARA	(REAC) 

