134,DEX,"Cass Gibson, that son of a bitch.",33,0.66
135,BRITT,"Robbed a bank in Arvada, Wednesday.",35,0.7
136,SHERIFF,That's the same day Chad was taken. Must've joined up with the rest of his boys.,80,1.6
137,BRITT,"Looks like Jed's my pigeon. Pa, listen to me, I'm gonna go find Chad, okay?",75,1.5
138,DEX,Yeah.,5,0.1
139,BRITT,"Alright, you take care of yourself, I'll be back.",49,0.98
140,SHERIFF,Nothin' on him says who he is or where he's from.,49,0.98
141,BRITT,Looks like there were a lot of 'em. I think someone came here looking for me.,77,1.54
142,SHERIFF,Why shoot Dex and kill Albert?,30,0.6
143,BRITT,'Cause I wasn't here.,21,0.42
144,SHERIFF,I have to bury that boy's body before it starts turnin'.,56,1.12
145,BRITT,I'd appreciate if you'd notify Albert's daddy.,46,0.92
146,SHERIFF,"Yeah, I will. When are you headed out?",38,0.76
147,BRITT,"They got a hefty head start, better get goin' right away.",57,1.14
148,SHERIFF,"Yep, I'll get a posse together.",31,0.62
149,BRITT,No. Too much time. And they'll just get in the way.,51,1.02
150,SHERIFF,Sure about that? Gonna take on Jed Blake's gang alone?,54,1.08
151,BRITT,I did it before.,16,0.32
152,SHERIFF,I'll come with you.,19,0.38
153,BRITT,"I need you to stay here. Watch out for my pa, in case they circle back.",71,1.42
154,SHERIFF,Then take Clay with you.,24,0.48
155,BRITT,No time for greenhorns.,23,0.46
156,SHERIFF,"He's green, but he can shoot. I taught him. And Britt... ...Starr sent these along for your boy when you find him.",114,2.28
157,SHERIFF,It's his favorite penny candy from the mercantile.,50,1.0
158,BRITT,What's his favorite?,20,0.4
159,SHERIFF,"Whole town knows. Heads out to that mercantile, wooh! â€œLook out, peppermint sticks!â€ Good luck!",99,1.98
160,SILAS,Ain't we got enough to deal with? The Marshal on our ass.,57,1.14
161,BLADE,"Why, you gettin' jittery, Silas?",32,0.64
162,SILAS,"You see them mountains over there, crawlin' with Sioux.",55,1.1
163,BLADE,Them mountains are more than 50 miles away and ridin' past 'em.,63,1.26
164,JED,"Once we kill the Marshal, we can go to Mexico.",46,0.92
165,WILLIE,You hate Mexico.,16,0.32
166,JED,"Damn right, I do.",17,0.34
167,WILLIE,Why don't we just head straight South? It'd be faster.,54,1.08
168,JED,"Where is your sense of adventure, Willie? We's easy targets out here, blind man can track us.",93,1.86
169,SILAS,"Jed, you better let that kid ride tomorrow. If Indians come down on us, we're gonna have to ride fast.",102,2.04
170,JED,"Well, if he can't keep up, drag him.",36,0.72
171,SILAS,"He's a kid, Jed. Damn, even I got a little compassion.",54,1.08
172,JED,"That's why you're following, Silas. Not leading. I'll be back. Hey. You know I'm always watchin' you, right? Good.",114,2.28
173,SILAS,What's gotten into him?,23,0.46
174,BLADE,"He's always been a mean prick, but not like this. Them five years in prison were hard on him. And all he thinks about is going after MacMasters.",144,2.88
175,SILAS,"He ain't no prairie rose, but he damn sure has changed.",55,1.1
176,BLADE,Damn right. Watch yourself.,27,0.54
177,WILLIE,"Hey. Here, eat this. Leave before sunrise. Ain't makin' breakfast.",66,1.32
178,CHAD,I ain't hungry.,15,0.3
179,WILLIE,"Yeah, but you know will be tomorrow and you know it.",52,1.04
180,CHAD,Why? Why did he have to kill Albert? He didn't even have a gun.,63,1.26
181,WILLIE,"Kill all witnesses, I suppose.",30,0.6
182,CHAD,He was-- he was just standing there and he shot him.,52,1.04
183,WILLIE,Yeah.,5,0.1
184,CHAD,"He wasn't shot dead, he shot him some more.",43,0.86
185,WILLIE,"You need to quit thinkin' about it, kid.",40,0.8
186,CHAD,"He's gonna kill me, too. Ain't he?",34,0.68
187,WILLIE,"Nah, he wants your pa.",22,0.44
188,CHAD,My pa most likely don't even know you took me.,46,0.92
189,WILLIE,"Once he finds out, ain't nothin' on his mind but coming for you.",64,1.28
190,CHAD,"In a month or two. Sometimes, he's gone as long as three. I bet... I bet you got Sheriff Wilkins and a posse from Clearmont tracking you down.",142,2.84
191,WILLIE,Jed wouldn't like that.,23,0.46
192,CHAD,Makes two of us.,16,0.32
193,JED,"Get up, Willie. Stop talking to that boy.",41,0.82
194,WILLIE,"Take care, kid.",15,0.3
195,WILLIE,"Hey, Jed. Talkin' to that MacMasters' kid.",42,0.84
196,JED,Yeah?,5,0.1
197,WILLIE,"He says the sheriff from that town is gettin' up a posse and comin' after us, not the Marshal. Not MacMaster.",109,2.18
198,JED,No. It will be MacMasters.,26,0.52
199,WILLIE,I was just sayin' Marshal could be another month or so before he gets back to the ranch.,88,1.76
200,JED,"What if he got back the same day we took the kid, Willie?",57,1.14
201,BLADE,He could be here tonight.,25,0.5
202,WILLIE,We ain't got a lookout.,23,0.46
203,JED,"That's right, we don't. That's why I just elected you, Willie. Cass'll spell you in two hours. Blade, saddle up.",112,2.24
204,BLADE,What?,5,0.1
205,JED,"Saddle up. Want you to backtrack. I'll find a spot from here to them hills, look out. Once you find MacMasters and his posse, get your ass back here.",149,2.98
